date,tokenproduced,tokenconsumed,tokenleft,WaitingTime,Count
2018-02-19,1,1,63,1049 days 03:54:00,64
2018-02-20,1,0,64,1098 days 10:13:00,64
2018-02-21,8,1,71,1166 days 10:05:00,72
2018-02-22,5,10,66,1206 days 20:31:00,76
2018-02-23,4,0,70,1034 days 20:01:00,70
2018-02-24,4,0,74,1107 days 19:30:00,74
2018-02-25,0,0,74,1181 days 19:30:00,74
2018-02-26,0,1,73,1255 days 11:56:00,74
2018-02-27,5,1,77,1326 days 10:02:00,78
2018-02-28,3,0,80,1401 days 00:24:00,80
2018-03-01,3,1,82,1482 days 01:07:00,83
2018-03-02,0,0,82,1513 days 21:25:00,82
2018-03-03,0,0,82,1595 days 21:25:00,82
2018-03-04,0,0,82,1677 days 21:25:00,82
2018-03-05,1,0,83,1760 days 06:28:00,83
2018-03-06,7,0,90,1845 days 16:44:00,90
2018-03-07,7,1,96,1937 days 22:58:00,97
2018-03-08,3,10,89,2029 days 08:18:00,99
2018-03-09,2,1,90,1784 days 20:14:00,91
2018-03-10,12,1,101,1867 days 05:07:00,102
2018-03-11,0,0,101,1964 days 09:51:00,101
2018-03-12,3,2,102,2065 days 18:11:00,104
2018-03-13,4,2,104,2161 days 17:02:00,106
2018-03-14,9,3,110,2235 days 09:12:00,113
2018-03-15,4,2,112,2216 days 01:41:00,114
2018-03-16,4,0,116,2310 days 21:21:00,116
2018-03-17,2,0,118,2428 days 02:29:00,118
2018-03-18,0,0,118,2546 days 02:29:00,118
2018-03-19,1,0,119,2664 days 10:13:00,119
2018-03-20,8,0,127,2786 days 06:27:00,127
2018-03-21,3,0,130,2914 days 11:31:00,130
2018-03-22,12,5,137,3048 days 06:34:00,142
2018-03-23,8,0,145,3084 days 01:35:00,145
2018-03-24,2,0,147,3230 days 07:36:00,147
2018-03-25,0,0,147,3377 days 07:36:00,147
2018-03-26,3,1,149,3525 days 08:42:00,150
2018-03-27,2,1,150,3662 days 08:13:00,151
2018-03-28,3,2,151,3808 days 19:03:00,153
2018-03-29,1,28,124,3934 days 12:21:00,152
2018-03-30,3,0,127,2958 days 10:18:00,127
2018-03-31,0,0,127,3085 days 10:18:00,127
2018-04-01,0,0,127,3212 days 10:18:00,127
2018-04-02,0,0,127,3339 days 10:18:00,127
2018-04-03,7,1,133,3469 days 11:22:00,134
2018-04-04,2,0,135,3581 days 20:15:00,135
2018-04-05,1,25,111,3706 days 18:24:00,136
2018-04-06,3,0,114,2953 days 13:52:00,114
2018-04-07,0,0,114,3067 days 13:52:00,114
2018-04-08,0,0,114,3181 days 13:52:00,114
2018-04-09,2,0,116,3296 days 13:37:00,116
2018-04-10,5,1,120,3414 days 02:42:00,121
2018-04-11,5,1,124,3458 days 18:42:00,125
2018-04-12,1,4,121,3567 days 00:29:00,125
2018-04-13,3,0,124,3656 days 21:47:00,124
2018-04-14,0,0,124,3780 days 21:47:00,124
2018-04-15,0,0,124,3904 days 21:47:00,124
2018-04-16,3,0,127,4030 days 04:31:00,127
2018-04-17,9,0,136,4161 days 13:05:00,136
2018-04-18,3,2,137,4297 days 13:20:00,139
2018-04-19,5,4,138,4410 days 18:08:00,142
2018-04-20,6,0,144,4457 days 20:54:00,144
2018-04-21,0,0,144,4601 days 20:54:00,144
2018-04-22,0,0,144,4745 days 20:54:00,144
2018-04-23,5,1,148,4891 days 11:45:00,149
2018-04-24,6,0,154,5038 days 15:09:00,154
2018-04-25,7,2,159,5195 days 03:13:00,161
2018-04-26,1,46,114,5312 days 16:28:00,160
2018-04-27,1,0,115,3343 days 17:49:00,115
2018-04-28,0,1,114,3458 days 00:49:00,115
2018-04-29,0,0,114,3527 days 06:09:00,114
2018-04-30,7,1,120,3644 days 05:52:00,121
2018-05-01,1,1,120,3751 days 08:53:00,121
2018-05-02,4,0,124,3869 days 19:42:00,124
2018-05-03,2,1,125,3994 days 10:00:00,126
2018-05-04,5,1,129,4071 days 01:50:00,130
2018-05-05,0,0,129,4198 days 05:37:00,129
2018-05-06,0,0,129,4327 days 05:37:00,129
2018-05-07,1,0,130,4456 days 19:29:00,130
2018-05-08,4,0,134,4589 days 02:32:00,134
2018-05-09,7,34,107,4709 days 13:37:00,141
2018-05-10,6,0,113,3387 days 01:55:00,113
2018-05-11,6,0,119,3502 days 23:28:00,119
2018-05-12,0,0,119,3621 days 23:28:00,119
2018-05-13,0,0,119,3740 days 23:28:00,119
2018-05-14,5,2,122,3862 days 05:38:00,124
2018-05-15,5,2,125,3979 days 16:41:00,127
2018-05-16,3,0,128,4064 days 05:03:00,128
2018-05-17,3,5,126,4191 days 04:50:00,131
2018-05-18,5,6,125,4151 days 23:23:00,131
2018-05-19,0,1,124,4219 days 13:42:00,125
2018-05-20,0,0,124,4342 days 05:18:00,124
2018-05-21,4,0,128,4468 days 10:36:00,128
2018-05-22,9,0,137,4600 days 22:17:00,137
2018-05-23,4,6,135,4736 days 11:47:00,141
2018-05-24,1,46,90,4817 days 04:44:00,136
2018-05-25,4,0,94,2635 days 19:01:00,94
2018-05-26,0,0,94,2729 days 19:01:00,94
2018-05-27,0,0,94,2823 days 19:01:00,94
2018-05-28,7,1,100,2920 days 17:57:00,101
2018-05-29,6,3,103,3008 days 03:53:00,106
2018-05-30,2,0,105,3094 days 20:47:00,105
2018-05-31,7,5,107,3200 days 09:40:00,112
2018-06-01,1,0,108,3226 days 03:13:00,108
2018-06-02,0,0,108,3334 days 03:13:00,108
2018-06-03,0,0,108,3442 days 03:13:00,108
2018-06-04,4,1,111,3551 days 10:31:00,112
2018-06-05,3,1,113,3623 days 13:02:00,114
2018-06-06,2,1,114,3661 days 15:14:00,115
2018-06-07,2,32,84,3737 days 05:19:00,116
2018-06-08,4,2,86,2599 days 22:09:00,88
2018-06-09,0,0,86,2682 days 02:35:00,86
2018-06-10,0,0,86,2768 days 02:35:00,86
2018-06-11,1,1,86,2854 days 00:18:00,87
2018-06-12,13,2,97,2944 days 06:21:00,99
2018-06-13,6,0,103,3010 days 11:04:00,103
2018-06-14,3,4,102,3113 days 03:47:00,106
2018-06-15,2,2,102,3160 days 03:22:00,104
2018-06-16,0,0,102,3257 days 07:45:00,102
2018-06-17,0,0,102,3359 days 07:45:00,102
2018-06-18,6,0,108,3464 days 23:03:00,108
2018-06-19,2,0,110,3573 days 21:55:00,110
2018-06-20,4,0,114,3685 days 17:11:00,114
2018-06-21,1,3,112,3798 days 15:10:00,115
2018-06-22,2,0,114,3808 days 22:36:00,114
2018-06-23,4,0,118,3925 days 18:29:00,118
2018-06-24,0,0,118,4043 days 18:29:00,118
2018-06-25,1,1,118,4161 days 23:30:00,119
2018-06-26,2,0,120,4273 days 20:31:00,120
2018-06-27,2,0,122,4395 days 00:31:00,122
2018-06-28,5,31,96,4504 days 09:59:00,127
2018-06-29,5,3,98,2846 days 05:35:00,101
2018-06-30,0,1,97,2923 days 05:58:00,98
2018-07-01,0,0,97,3019 days 16:44:00,97
2018-07-02,1,0,98,3117 days 02:49:00,98
2018-07-03,1,0,99,3215 days 11:50:00,99
2018-07-04,9,1,107,3318 days 13:50:00,108
2018-07-05,5,27,85,3378 days 06:32:00,112
2018-07-06,9,1,93,2267 days 03:49:00,94
2018-07-07,6,0,99,2357 days 05:59:00,99
2018-07-08,0,0,99,2456 days 05:59:00,99
2018-07-09,4,0,103,2557 days 03:40:00,103
2018-07-10,4,2,105,2661 days 06:29:00,107
2018-07-11,7,2,110,2741 days 05:05:00,112
2018-07-12,3,2,111,2843 days 17:07:00,113
2018-07-13,2,4,109,2909 days 10:35:00,113
2018-07-14,0,0,109,2993 days 03:59:00,109
2018-07-15,0,0,109,3102 days 03:59:00,109
2018-07-16,4,0,113,3213 days 05:46:00,113
2018-07-17,5,2,116,3327 days 15:08:00,118
2018-07-18,4,0,120,3405 days 14:47:00,120
2018-07-19,2,9,113,3522 days 03:24:00,122
2018-07-20,1,1,113,3468 days 17:28:00,114
2018-07-21,0,0,113,3549 days 03:18:00,113
2018-07-22,0,0,113,3662 days 03:18:00,113
2018-07-23,6,0,119,3777 days 23:54:00,119
2018-07-24,7,2,124,3900 days 16:14:00,126
2018-07-25,2,1,125,4023 days 06:55:00,126
2018-07-26,12,44,93,4138 days 20:06:00,137
2018-07-27,2,1,94,2513 days 21:14:00,95
2018-07-28,0,0,94,2535 days 19:20:00,94
2018-07-29,0,0,94,2629 days 19:20:00,94
2018-07-30,1,0,95,2724 days 08:42:00,95
2018-07-31,2,2,95,2819 days 09:13:00,97
2018-08-01,9,2,102,2894 days 15:50:00,104
2018-08-02,3,1,104,2934 days 05:12:00,105
2018-08-03,3,0,107,3023 days 22:46:00,107
2018-08-04,0,0,107,3130 days 22:46:00,107
2018-08-05,0,0,107,3237 days 22:46:00,107
2018-08-06,2,1,108,3345 days 15:45:00,109
2018-08-07,11,1,118,3454 days 18:12:00,119
2018-08-08,2,0,120,3567 days 23:00:00,120
2018-08-09,7,17,110,3683 days 16:44:00,127
2018-08-10,1,2,109,3149 days 14:24:00,111
2018-08-11,0,0,109,3257 days 05:28:00,109
2018-08-12,0,0,109,3366 days 05:28:00,109
2018-08-13,5,2,112,3476 days 22:53:00,114
2018-08-14,2,3,111,3445 days 05:18:00,114
2018-08-15,2,0,113,3525 days 10:15:00,113
2018-08-16,5,5,113,3638 days 23:46:00,118
2018-08-17,2,0,115,3692 days 04:05:00,115
2018-08-18,0,0,115,3807 days 04:05:00,115
2018-08-19,0,0,115,3922 days 04:05:00,115
2018-08-20,5,0,120,4039 days 20:49:00,120
2018-08-21,3,3,120,4160 days 06:15:00,123
2018-08-22,5,0,125,4272 days 14:12:00,125
2018-08-23,4,4,125,4397 days 15:18:00,129
2018-08-24,6,1,130,4379 days 22:57:00,131
2018-08-25,0,0,130,4501 days 20:39:00,130
2018-08-26,0,0,130,4631 days 20:39:00,130
2018-08-27,0,0,130,4761 days 20:39:00,130
2018-08-28,0,0,130,4891 days 20:39:00,130
2018-08-29,2,0,132,5022 days 21:22:00,132
2018-08-30,3,41,94,5138 days 13:40:00,135
2018-08-31,4,0,98,3170 days 01:53:00,98
2018-09-01,0,0,98,3268 days 01:53:00,98
2018-09-02,0,0,98,3366 days 01:53:00,98
2018-09-03,3,0,101,3465 days 12:44:00,101
2018-09-04,3,0,104,3568 days 02:48:00,104
2018-09-05,9,2,111,3676 days 17:23:00,113
2018-09-06,5,31,85,3772 days 23:41:00,116
2018-09-07,6,0,91,2677 days 05:51:00,91
2018-09-08,0,0,91,2768 days 05:51:00,91
2018-09-09,0,0,91,2859 days 05:51:00,91
2018-09-10,3,1,93,2951 days 12:43:00,94
2018-09-11,7,2,98,3042 days 17:38:00,100
2018-09-12,8,0,106,3059 days 13:39:00,106
2018-09-13,6,5,107,3166 days 23:22:00,112
2018-09-14,7,0,114,3211 days 00:38:00,114
2018-09-15,0,0,114,3325 days 00:38:00,114
2018-09-16,0,0,114,3439 days 00:38:00,114
2018-09-17,2,5,111,3552 days 13:04:00,116
2018-09-18,4,0,115,3493 days 03:51:00,115
2018-09-19,6,0,121,3611 days 14:01:00,121
2018-09-20,5,3,123,3733 days 23:22:00,126
2018-09-21,3,0,126,3798 days 06:37:00,126
2018-09-22,0,0,126,3924 days 06:37:00,126
2018-09-23,0,0,126,4050 days 06:37:00,126
2018-09-24,4,0,130,4177 days 19:15:00,130
2018-09-25,8,2,136,4311 days 02:19:00,138
2018-09-26,8,0,144,4394 days 13:32:00,144
2018-09-27,4,2,146,4539 days 11:53:00,148
2018-09-28,3,33,116,4592 days 16:57:00,149
2018-09-29,0,0,116,3235 days 00:45:00,116
2018-09-30,0,0,116,3351 days 00:45:00,116
2018-10-01,4,0,120,3468 days 21:17:00,120
2018-10-02,5,0,125,3591 days 15:54:00,125
2018-10-03,2,5,122,3714 days 16:03:00,127
2018-10-04,2,26,98,3682 days 05:50:00,124
2018-10-05,7,2,103,2746 days 05:41:00,105
2018-10-06,0,0,103,2655 days 16:23:00,103
2018-10-07,0,0,103,2758 days 16:23:00,103
2018-10-08,4,0,107,2863 days 16:30:00,107
2018-10-09,1,0,108,2971 days 07:23:00,108
2018-10-10,3,3,108,3078 days 18:02:00,111
2018-10-11,1,4,105,3131 days 14:19:00,109
2018-10-12,5,0,110,3141 days 01:22:00,110
2018-10-13,0,0,110,3251 days 01:22:00,110
2018-10-14,0,0,110,3361 days 01:22:00,110
2018-10-15,5,0,115,3473 days 04:23:00,115
2018-10-16,3,2,116,3588 days 19:51:00,118
2018-10-17,2,0,118,3674 days 23:57:00,118
2018-10-18,4,3,119,3793 days 20:53:00,122
2018-10-19,2,0,121,3844 days 18:08:00,121
2018-10-20,0,0,121,3965 days 18:08:00,121
2018-10-21,0,0,121,4086 days 18:08:00,121
2018-10-22,2,0,123,4208 days 16:50:00,123
2018-10-23,2,0,125,4332 days 13:48:00,125
2018-10-24,0,1,124,4456 days 13:55:00,125
2018-10-25,1,0,125,4559 days 16:13:00,125
2018-10-26,3,37,91,4663 days 04:06:00,128
2018-10-27,0,0,91,2996 days 05:16:00,91
2018-10-28,0,0,91,3087 days 05:16:00,91
2018-10-29,0,0,91,3178 days 05:16:00,91
2018-10-30,5,0,96,3271 days 15:12:00,96
2018-10-31,3,0,99,3368 days 19:07:00,99
2018-11-01,7,7,99,3468 days 22:05:00,106
2018-11-02,0,0,99,3374 days 08:05:00,99
2018-11-03,0,0,99,3473 days 08:05:00,99
2018-11-04,0,0,99,3572 days 08:05:00,99
2018-11-05,1,0,100,3671 days 18:17:00,100
2018-11-06,1,0,101,3772 days 06:25:00,101
2018-11-07,4,2,103,3874 days 18:21:00,105
2018-11-08,0,27,76,3896 days 16:08:00,103
2018-11-09,0,0,76,2888 days 19:46:00,76
2018-11-10,0,0,76,2964 days 19:46:00,76
2018-11-11,0,0,76,3040 days 19:46:00,76
2018-11-12,4,0,80,3118 days 14:06:00,80
2018-11-13,7,0,87,3201 days 21:45:00,87
2018-11-14,6,5,88,3287 days 20:51:00,93
2018-11-15,6,1,93,3232 days 10:24:00,94
2018-11-16,6,0,99,3326 days 09:59:00,99
2018-11-17,0,0,99,3425 days 09:59:00,99
2018-11-18,0,0,99,3524 days 09:59:00,99
2018-11-19,6,0,105,3626 days 02:40:00,105
2018-11-20,8,3,110,3733 days 02:44:00,113
2018-11-21,0,0,110,3828 days 08:31:00,110
2018-11-22,4,7,107,3937 days 03:05:00,114
2018-11-23,4,2,109,3767 days 10:43:00,111
2018-11-24,0,0,109,3803 days 03:45:00,109
2018-11-25,0,0,109,3912 days 03:45:00,109
2018-11-26,4,0,113,4023 days 08:52:00,113
2018-11-27,2,0,115,4137 days 10:42:00,115
2018-11-28,1,1,115,4252 days 05:20:00,116
2018-11-29,2,31,86,4341 days 05:09:00,117
2018-11-30,4,2,88,2728 days 18:39:00,90
2018-12-01,1,0,89,2672 days 14:07:00,89
2018-12-02,0,0,89,2761 days 14:07:00,89
2018-12-03,4,0,93,2852 days 07:33:00,93
2018-12-04,8,0,101,2949 days 15:16:00,101
2018-12-05,5,0,106,3053 days 06:02:00,106
2018-12-06,3,4,105,3157 days 12:10:00,109
2018-12-07,6,37,74,3227 days 10:27:00,111
2018-12-08,0,0,74,2049 days 04:28:00,74
2018-12-09,0,0,74,2123 days 04:28:00,74
2018-12-10,1,0,75,2197 days 15:37:00,75
2018-12-11,2,1,76,2273 days 03:52:00,77
2018-12-12,1,1,76,2331 days 03:01:00,77
2018-12-13,5,8,73,2398 days 14:32:00,81
2018-12-14,1,3,71,1945 days 22:08:00,74
2018-12-15,0,0,71,1993 days 07:46:00,71
2018-12-16,0,0,71,2064 days 07:46:00,71
2018-12-17,3,4,70,2134 days 06:45:00,74
2018-12-18,2,0,72,1981 days 20:36:00,72
2018-12-19,2,0,74,2055 days 01:04:00,74
2018-12-20,0,1,73,2128 days 02:17:00,74
2018-12-21,4,2,75,2182 days 17:35:00,77
2018-12-22,0,0,75,2226 days 02:51:00,75
2018-12-23,0,0,75,2301 days 02:51:00,75
2018-12-24,0,1,74,2375 days 10:09:00,75
2018-12-25,0,0,74,2415 days 14:03:00,74
2018-12-26,0,0,74,2489 days 14:03:00,74
2018-12-27,2,0,76,2564 days 11:14:00,76
2018-12-28,2,2,76,2640 days 05:27:00,78
2018-12-29,0,1,75,2701 days 06:54:00,76
2018-12-30,0,0,75,2774 days 19:32:00,75
2018-12-31,3,1,77,2851 days 01:25:00,78
2019-01-01,0,1,76,2923 days 23:57:00,77
2019-01-02,1,1,76,2960 days 04:27:00,77
2019-01-03,1,10,67,3004 days 15:38:00,77
2019-01-04,1,37,31,2803 days 19:18:00,68
2019-01-05,0,0,31,812 days 08:38:00,31
2019-01-06,0,1,30,843 days 07:37:00,31
2019-01-07,0,6,24,846 days 02:51:00,30
2019-01-08,0,0,24,771 days 03:50:00,24
2019-01-09,1,0,25,795 days 17:40:00,25
2019-01-10,0,20,5,813 days 01:25:00,25
2019-01-11,1,1,5,124 days 22:05:00,6
2019-01-12,0,0,5,127 days 18:09:00,5
2019-01-13,0,0,5,132 days 18:09:00,5
2019-01-14,0,1,4,137 days 02:22:00,5
2019-01-15,0,3,1,136 days 18:56:00,4
2019-01-16,0,0,1,76 days 15:51:00,1
2019-01-17,0,1,0,77 days 05:31:00,1
